file,id,target(de),target(en),target(es),target(fr),target(ja),target(ko),target(pt-BR),target(pt-PT),target(ru),target(th),target(zh-Hans),target(zh-Hant),note
AirwallexCore/Resources/en.lproj/Localizable.strings,Phone number (optional),Telefonnummer (optional),Phone number (optional),Número de teléfono (opcional),Numéro de téléphone (optionnel),電話番号（任意）,전화번호(선택 사항),Número de telefone (opcional),Número de telefone (opcional),Номер телефона (необязательно),เบอร์โทรศัพท์ (ไม่จำเป็น),电话号码（可选）,電話號碼（選填）,Shiping field placeholder - Phone number (optional)
AirwallexCore/Resources/en.lproj/Localizable.strings,Save,Speichern,Save,Guardar,Enregistrer,保存,저장,Salvar,Guardar,Сохранить,บันทึก,保存,儲存,save button on navigation bar
AirwallexCore/Resources/en.lproj/Localizable.strings,Shipping,Versand,Shipping,Envío,Livraison,配送,배송,Envio,Envio,Доставка,การจัดส่ง,配送,運送,title of shipping view controller
AirwallexCore/Resources/en.lproj/Localizable.strings,State,Bundesland,State,Estado,État / Région,都道府県,주,Estado,Distrito / Estado,Штат / Область,รัฐ / จังหวัด,省/州,州／省,Shiping field placeholder - State
AirwallexCore/Resources/en.lproj/Localizable.strings,Street,Straße,Street,Calle,Rue,住所,주소,Rua,Rua,Улица,ถนน,街道,街道,Shiping field placeholder - Street
AirwallexCore/Resources/en.lproj/Localizable.strings,Total %@,Gesamt %@,Total %@,Total %@,Total %@,合計 %@,총액 %@,Total %@,Total %@,Итого %@,ยอดรวม %@,总计 %@,總計 %@,total amount of payment session
AirwallexCore/Resources/en.lproj/Localizable.strings,Zip code (optional),Postleitzahl (optional),Zip code (optional),Código postal (opcional),Code postal (optionnel),郵便番号（任意）,우편번호(선택 사항),CEP (opcional),Código postal (opcional),Почтовый индекс (необязательно),รหัสไปรษณีย์ (ไม่จำเป็น),邮政编码（可选）,郵遞區號（選填）,Shiping field placeholder - Zip code (optional)
AirwallexPayment/Resources/Localizable.xcstrings,Card not supported for payment,Karte wird für die Zahlung nicht unterstützt,Card not supported for payment,La tarjeta no es compatible para el pago,Carte non prise en charge pour le paiement,お支払いにこのカードはご利用いただけません,결제에 지원되지 않는 카드입니다,Cartão não suportado para pagamento,Cartão não suportado para pagamento,Карта не поддерживается для оплаты,ไม่รองรับบัตรสำหรับการชำระเงิน,该卡不支持支付,此卡片不支援付款,card validator error message
AirwallexPayment/Resources/Localizable.xcstrings,Card number is invalid,Kartennummer ist ungültig,Card number is invalid,El número de tarjeta no es válido,Le numéro de carte est invalide,カード番号が無効です,카드 번호가 유효하지 않습니다,Número do cartão inválido,Número de cartão inválido,Недействительный номер карты,หมายเลขบัตรไม่ถูกต้อง,卡号无效,卡號無效,card validator error message
AirwallexPayment/Resources/Localizable.xcstrings,Card number is required,Kartennummer ist erforderlich,Card number is required,El número de tarjeta es obligatorio,Le numéro de carte est requis,カード番号は必須です,카드 번호는 필수입니다,Número do cartão é obrigatório,O número do cartão é obrigatório,Требуется номер карты,ต้องกรอกหมายเลขบัตร,必须填写卡号,卡號為必填,card validator error message
AirwallexPayment/Resources/Localizable.xcstrings,Card number must contain only digits,Kartennummer darf nur Ziffern enthalten,Card number must contain only digits,El número de tarjeta solo debe contener dígitos,Le numéro de carte doit uniquement contenir des chiffres,カード番号は数字のみ入力してください,카드 번호는 숫자만 포함해야 합니다,O número do cartão deve conter apenas dígitos,O número do cartão deve conter apenas dígitos,Номер карты должен содержать только цифры,หมายเลขบัตรต้องเป็นตัวเลขเท่านั้น,卡号只能包含数字,卡號必須僅包含數字,card validator error message
AirwallexPayment/Resources/Localizable.xcstrings,Card’s expiration date is invalid,Ablaufdatum der Karte ist ungültig,Card’s expiration date is invalid,La fecha de vencimiento de la tarjeta no es válida,La date d’expiration de la carte est invalide,カードの有効期限が無効です,카드의 만료 날짜가 유효하지 않습니다,A data de validade do cartão é inválida,Data de validade do cartão inválida,Недействительный срок действия карты,วันหมดอายุของบัตรไม่ถูกต้อง,卡片的到期日无效,卡片到期日無效,card validator error message
AirwallexPayment/Resources/Localizable.xcstrings,Expiry date is required,Ablaufdatum ist erforderlich,Expiry date is required,La fecha de vencimiento es obligatoria,La date d’expiration est requise,有効期限は必須です,만료 날짜는 필수입니다,A data de validade é obrigatória,Data de validade é obrigatória,Требуется срок действия,ต้องกรอกวันหมดอายุ,到期日期为必填项,到期日為必填,card validator error message
AirwallexPayment/Resources/Localizable.xcstrings,Invalid CVC / CVV,Ungültiger CVC / CVV,Invalid CVC / CVV,CVC / CVV no válido,CVC / CVV invalide,無効なCVC / CVVです,유효하지 않은 CVC / CVV,CVC / CVV inválido,CVC / CVV inválido,Недействительный CVC / CVV,CVC / CVV ไม่ถูกต้อง,无效的CVC / CVV,CVC / CVV 無效,card validator error message
AirwallexPayment/Resources/Localizable.xcstrings,Invalid card number,Ungültige Kartennummer,Invalid card number,Número de tarjeta no válido,Numéro de carte invalide,無効なカード番号です,유효하지 않은 카드 번호,Número do cartão inválido,Número de cartão inválido,Недействительный номер карты,หมายเลขบัตรไม่ถูกต้อง,无效的卡号,卡號無效,card validator error message
AirwallexPayment/Resources/Localizable.xcstrings,Invalid expires date,Ungültiges Ablaufdatum,Invalid expires date,Fecha de vencimiento no válida,Date d’expiration invalide,無効な有効期限です,유효하지 않은 만료 날짜,Data de validade inválida,Data de validade inválida,Недействительный срок действия,วันหมดอายุไม่ถูกต้อง,无效的到期日期,到期日無效,card validator error message
AirwallexPayment/Resources/Localizable.xcstrings,Invalid name on card,Ungültiger Name auf der Karte,Invalid name on card,Nombre en la tarjeta no válido,Nom sur la carte invalide,カード名義が無効です,카드의 이름이 유효하지 않습니다,Nome no cartão inválido,Nome no cartão inválido,Неверное имя на карте,ชื่อบนบัตรไม่ถูกต้อง,无效的持卡人姓名,持卡人姓名無效,card validator error message
AirwallexPayment/Resources/Localizable.xcstrings,Please enter your card name,Bitte geben Sie den Namen auf der Karte ein,Please enter your card name,"Por favor, introduce el nombre en la tarjeta",Veuillez saisir le nom sur la carte,カード名義を入力してください,카드의 이름을 입력하세요,"Por favor, insira o nome no cartão","Por favor, introduza o nome no cartão","Пожалуйста, введите имя на карте",กรุณากรอกชื่อบนบัตร,请输入卡上的姓名,請輸入卡片姓名,card validator error message
AirwallexPayment/Resources/Localizable.xcstrings,Security code is invalid,Sicherheitscode ist ungültig,Security code is invalid,El código de seguridad no es válido,Le code de sécurité est invalide,セキュリティコードが無効です,보안 코드가 유효하지 않습니다,Código de segurança inválido,Código de segurança inválido,Недействительный код безопасности,รหัสความปลอดภัยไม่ถูกต้อง,安全码无效,安全碼無效,card validator error message
AirwallexPayment/Resources/Localizable.xcstrings,Security code is required,Sicherheitscode ist erforderlich,Security code is required,El código de seguridad es obligatorio,Le code de sécurité est requis,セキュリティコードは必須です,보안 코드는 필수입니다,Código de segurança é obrigatório,O código de segurança é obrigatório,Требуется код безопасности,ต้องกรอกรหัสความปลอดภัย,安全码为必填项,安全碼為必填,card validator error message
AirwallexPayment/Resources/Localizable.xcstrings,Security code must contain only digits,Sicherheitscode darf nur Ziffern enthalten,Security code must contain only digits,El código de seguridad solo debe contener dígitos,Le code de sécurité doit uniquement contenir des chiffres,セキュリティコードは数字のみ入力してください,보안 코드는 숫자만 포함해야 합니다,O código de segurança deve conter apenas dígitos,O código de segurança deve conter apenas dígitos,Код безопасности должен содержать только цифры,รหัสความปลอดภัยต้องเป็นตัวเลขเท่านั้น,安全码只能包含数字,安全碼必須僅包含數字,card validator error message
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Add new,Neu hinzufügen,Add new,Agregar nuevo,Ajouter nouveau,新規追加,새로 추가,Adicionar novo,Adicionar novo,Добавить новую,เพิ่มใหม่,新增,新增,"add card section - section title
consent section - add a new card"
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Bank,Bank,Bank,Banco,Banque,銀行,은행,Banco,Banco,Банк,ธนาคาร,银行,銀行,title for bank selection
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Billing Address,Rechnungsadresse,Billing Address,Dirección de facturación,Adresse de facturation,請求先住所,청구지 주소,Endereço de cobrança,Morada de faturação,Платежный адрес,ที่อยู่สำหรับออกใบเสร็จ,账单地址,帳單地址,Billing Address - title
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Billing country or region,Rechnungsland oder -region,Billing country or region,País o región de facturación,Pays ou région de facturation,請求先の国または地域,청구 국가 또는 지역,País ou região de cobrança,País ou região de faturação,Страна или регион для выставления счета,ประเทศหรือภูมิภาคสำหรับออกใบเสร็จ,账单国家或地区,帳單國家或地區,add card section - billing info
AirwallexPaymentSheet/Resources/Localizable.xcstrings,CVC,CVC,CVC,CVC,CVC,CVC,CVC,CVC,CVC,CVC,CVC,CVC,CVC,"consent section - cvc field placeholder
user input - cvc placeholder"
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Cancel,Abbrechen,Cancel,Cancelar,Annuler,キャンセル,취소,Cancelar,Cancelar,Отмена,ยกเลิก,取消,取消,consent section - alert cancel button to delete a consent
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Card Information,Karteninformationen,Card Information,Información de la tarjeta,Informations sur la carte,カード情報,카드 정보,Informações do cartão,Informação do cartão,Информация о карте,ข้อมูลบัตร,卡片信息,卡片資訊,Card Info Cell - title
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Card’s expiration date is invalid,Ablaufdatum der Karte ist ungültig,Card’s expiration date is invalid,La fecha de vencimiento de la tarjeta no es válida,La date d’expiration de la carte est invalide,カードの有効期限が無効です,카드의 만료 날짜가 유효하지 않습니다,A data de validade do cartão é inválida,Data de validade do cartão inválida,Недействительный срок действия карты,วันหมดอายุของบัตรไม่ถูกต้อง,卡片的到期日无效,卡片到期日無效,user input validation
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Change,Ändern,Change,Cambiar,Modifier,変更,변경,Alterar,Alterar,Изменить,เปลี่ยน,更改,變更,consent section - unselect consent and go back to consent list
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Choose a card,Karte auswählen,Choose a card,Elegir una tarjeta,Choisir une carte,カードを選択,카드 선택,Escolher um cartão,Escolher um cartão,Выбрать карту,เลือกบัตร,选择一张卡,選擇卡片,consent section - choose a saved card
AirwallexPaymentSheet/Resources/Localizable.xcstrings,City,Stadt,City,Ciudad,Ville,市区町村,도시,Cidade,Cidade,Город,เมือง,城市,城市,billing city placeholder
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Close,Schließen,Close,Cerrar,Fermer,閉じる,닫기,Fechar,Fechar,Закрыть,ปิด,关闭,關閉,close button for alert
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Email,E-Mail,Email,Correo electrónico,E-mail,メールアドレス,이메일,E-mail,E-mail,Электронная почта,อีเมล,电子邮件,電子郵件,add card section - billing field
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Expiry date is required,Ablaufdatum ist erforderlich,Expiry date is required,La fecha de vencimiento es obligatoria,La date d’expiration est requise,有効期限は必須です,만료 날짜는 필수입니다,A data de validade é obrigatória,Data de validade é obrigatória,Требуется срок действия,ต้องกรอกวันหมดอายุ,到期日期为必填项,到期日為必填,user input validation
AirwallexPaymentSheet/Resources/Localizable.xcstrings,"For UnionPay, only credit cards can be saved. Click “Pay” to proceed with a one time payment or use another card if you would like to save it for future use.","Für UnionPay können nur Kreditkarten gespeichert werden. Klicken Sie auf „Bezahlen“, um mit einer einmaligen Zahlung fortzufahren, oder verwenden Sie eine andere Karte, wenn Sie diese für zukünftige Zahlungen speichern möchten.","For UnionPay, only credit cards can be saved. Click “Pay” to proceed with a one time payment or use another card if you would like to save it for future use.","Para UnionPay, solo se pueden guardar tarjetas de crédito. Haz clic en “Pagar” para proceder con un pago único, o utiliza otra tarjeta si deseas guardarla para uso futuro.","Pour UnionPay, seules les cartes de crédit peuvent être enregistrées. Cliquez sur « Payer » pour effectuer un paiement unique ou utilisez une autre carte si vous souhaitez l’enregistrer pour une utilisation future.",UnionPayではクレジットカードのみ保存できます。「支払う」をクリックして1回限りの支払いを行うか、他のカードを使用して今後の利用のために保存してください。,"UnionPay의 경우 신용카드만 저장할 수 있습니다. “결제”를 클릭하여 1회 결제를 진행하거나, 추후 사용을 위해 다른 카드를 저장하세요.","Para UnionPay, somente cartões de crédito podem ser salvos. Clique em “Pagar” para prosseguir com um pagamento único ou use outro cartão se quiser salvá-lo para uso futuro.","Para UnionPay, apenas cartões de crédito podem ser guardados. Clique em ""Pagar"" para efetuar um pagamento único ou use outro cartão se o quiser guardar para utilizações futuras.","Для UnionPay можно сохранить только кредитные карты. Нажмите «Оплатить», чтобы выполнить однократный платеж, или используйте другую карту, если хотите сохранить её для будущего использования.",สำหรับ UnionPay สามารถบันทึกเฉพาะบัตรเครดิตเท่านั้น คลิก “ชำระเงิน” เพื่อทำรายการครั้งเดียว หรือใช้บัตรอื่นหากคุณต้องการบันทึกสำหรับการใช้ในอนาคต,对于银联，只能保存信用卡。点击“支付”进行一次性支付，或使用其他卡片进行保存以便日后使用。,銀聯僅能儲存信用卡。點選「付款」以進行一次性付款，或使用其他卡片以便日後使用時儲存。,add card section - UnionPay warning message
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Invalid email,Ungültige E-Mail-Adresse,Invalid email,Correo electrónico no válido,E-mail invalide,メールアドレスが無効です,유효하지 않은 이메일,E-mail inválido,E-mail inválido,Недействительная электронная почта,อีเมลไม่ถูกต้อง,无效的电子邮件,電子郵件無效,user input validation
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Invalid phone number,Ungültige Telefonnummer,Invalid phone number,Número de teléfono no válido,Numéro de téléphone invalide,電話番号が無効です,유효하지 않은 전화번호,Número de telefone inválido,Número de telefone inválido,Неверный номер телефона,เบอร์โทรศัพท์ไม่ถูกต้อง,无效的电话号码,電話號碼無效,user input validation
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Invalid schema,Ungültiges Schema,Invalid schema,Formato no válido,Schéma invalide,スキーマが無効です,유효하지 않은 형식,Esquema inválido,Esquema inválido,Недопустимая схема,รูปแบบไม่ถูกต้อง,无效的格式,無效的格式,schema section - invalid schema data
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Invalid state,Ungültiges Bundesland,Invalid state,Estado no válido,État invalide,都道府県が無効です,유효하지 않은 주,Estado inválido,Distrito / Estado inválido,Недействительный штат / область,รัฐ / จังหวัดไม่ถูกต้อง,无效的省/州,州／省無效,user input validation
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Keep using saved cards,Gespeicherte Karten weiter verwenden,Keep using saved cards,Seguir usando tarjetas guardadas,Continuer à utiliser les cartes enregistrées,保存済みカードを使い続ける,저장된 카드를 계속 사용,Continuar usando cartões salvos,Continuar a usar cartões guardados,Продолжить использовать сохранённые карты,ใช้บัตรที่บันทึกไว้ต่อไป,继续使用已保存的卡,繼續使用已儲存卡片,add card section - button to switch to consent list
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Name on card,Name auf der Karte,Name on card,Nombre en la tarjeta,Nom sur la carte,カード名義,카드 이름,Nome no cartão,Nome no cartão,Имя на карте,ชื่อบนบัตร,卡上的姓名,卡片姓名,add card section - billing field
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Or pay with,Oder bezahlen mit,Or pay with,O pagar con,Ou payer avec,または次で支払う,또는 다음으로 결제,Ou pagar com,Ou pagar com,Или оплатить с помощью,หรือชำระด้วย,或使用以下方式支付,或使用以下方式付款,payment section separator
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Pay,Bezahlen,Pay,Pagar,Payer,支払う,결제,Pagar,Pagar,Оплатить,ชำระเงิน,支付,付款,checkout button title
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Payment Methods,Zahlungsmethoden,Payment Methods,Métodos de pago,Moyens de paiement,お支払い方法,결제 수단,Métodos de pagamento,Métodos de pagamento,Способы оплаты,วิธีการชำระเงิน,支付方式,付款方式,title for payment sheet
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Phone number,Telefonnummer,Phone number,Número de teléfono,Numéro de téléphone,電話番号,전화번호,Número de telefone,Número de telefone,Номер телефона,เบอร์โทรศัพท์,电话号码,電話號碼,add card section - billing field
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Please enter your city,Bitte geben Sie Ihre Stadt ein,Please enter your city,"Por favor, introduce tu ciudad",Veuillez entrer votre ville,市区町村を入力してください,도시를 입력하세요,"Por favor, insira sua cidade","Por favor, introduza a sua cidade","Пожалуйста, введите ваш город",กรุณากรอกชื่อเมืองของคุณ,请输入您的城市,請輸入您的城市,user input validation
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Please enter your country,Bitte geben Sie Ihr Land ein,Please enter your country,"Por favor, introduce tu país",Veuillez entrer votre pays,国を入力してください,국가를 입력하세요,"Por favor, insira seu país","Por favor, introduza o seu país","Пожалуйста, введите вашу страну",กรุณากรอกประเทศของคุณ,请输入您的国家,請輸入您的國家,"country selection view error hint
user input validation"
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Please enter your first name,Bitte geben Sie Ihren Vornamen ein,Please enter your first name,"Por favor, introduce tu nombre",Veuillez entrer votre prénom,名を入力してください,이름을 입력하세요,"Por favor, insira seu nome","Por favor, introduza o seu nome","Пожалуйста, введите ваше имя",กรุณากรอกชื่อจริงของคุณ,请输入您的名字,請輸入您的名字,user input validation
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Please enter your last name,Bitte geben Sie Ihren Nachnamen ein,Please enter your last name,"Por favor, introduce tu apellido",Veuillez entrer votre nom,姓を入力してください,성을 입력하세요,"Por favor, insira seu sobrenome","Por favor, introduza o seu apelido","Пожалуйста, введите вашу фамилию",กรุณากรอกนามสกุลของคุณ,请输入您的姓氏,請輸入您的姓氏,user input validation
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Please enter your name on card,Bitte geben Sie den Namen auf der Karte ein,Please enter your name on card,"Por favor, introduce el nombre en la tarjeta",Veuillez entrer le nom sur la carte,カード名義を入力してください,카드의 이름을 입력하세요,"Por favor, insira o nome no cartão","Por favor, introduza o nome no cartão","Пожалуйста, введите имя на карте",กรุณากรอกชื่อบนบัตรของคุณ,请输入卡上的姓名,請輸入卡片姓名,user input validation
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Please enter your street,Bitte geben Sie Ihre Straße ein,Please enter your street,"Por favor, introduce tu calle",Veuillez entrer votre rue,住所を入力してください,주소를 입력하세요,"Por favor, insira sua rua","Por favor, introduza a sua rua","Пожалуйста, введите вашу улицу",กรุณากรอกชื่อถนน,请输入您的街道,請輸入您的街道,user input validation
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Please select a bank,Bitte wählen Sie eine Bank,Please select a bank,"Por favor, selecciona un banco",Veuillez sélectionner une banque,銀行を選択してください,은행을 선택하세요,"Por favor, selecione um banco","Por favor, selecione um banco","Пожалуйста, выберите банк",กรุณาเลือกธนาคาร,请选择银行,請選擇銀行,user input validation - bank selection view error hint
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Postal code,Postleitzahl,Postal code,Código postal,Code postal,郵便番号,우편번호,CEP,Código postal,Почтовый индекс,รหัสไปรษณีย์,邮政编码,郵遞區號,billing postal code placeholder
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Remove,Entfernen,Remove,Eliminar,Supprimer,削除,삭제,Remover,Remover,Удалить,ลบ,移除,移除,consent section - alert confirm button to remove a consent
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Remove %@?,Entfernen von %@?,Remove %@?,¿Eliminar %@?,Supprimer %@ ?,%@を削除しますか？,%@을(를) 삭제하시겠습니까?,Remover %@?,Remover %@?,Удалить %@?,ลบ %@ หรือไม่?,移除%@？,移除%@？,consent section - alert title for delete a consent
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Same as shipping address,Wie Versandadresse,Same as shipping address,Igual que la dirección de envío,Identique à l’adresse de livraison,配送先住所と同じ,배송지와 동일,Igual ao endereço de envio,Igual à morada de envio,"То же, что и адрес доставки",เหมือนที่อยู่สำหรับจัดส่ง,与收货地址相同,同運送地址,Billing Address - reuse toggle
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Save my card for future payments,Meine Karte für zukünftige Zahlungen speichern,Save my card for future payments,Guardar mi tarjeta para futuros pagos,Enregistrer ma carte pour de futurs paiements,今後の支払いのためにカードを保存する,앞으로 결제를 위해 내 카드 저장,Salvar meu cartão para pagamentos futuros,Guardar o meu cartão para pagamentos futuros,Сохранить мою карту для будущих платежей,บันทึกบัตรของฉันสำหรับการชำระเงินในอนาคต,保存我的卡用于未来支付,儲存我的卡片以供未來付款,add card section - toggle for card saving
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Select your Bank,Wählen Sie Ihre Bank,Select your Bank,Selecciona tu Banco,Sélectionnez votre Banque,銀行を選択,은행 선택,Selecione seu banco,Selecione o seu banco,Выберите ваш банк,เลือกธนาคารของคุณ,请选择您的银行,請選擇您的銀行,schema section - title of Bank Selection form
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Select...,Auswählen...,Select...,Seleccionar...,Sélectionner...,選択...,선택...,Selecionar...,Selecionar...,Выбрать...,เลือก...,选择...,選擇…,"bank selection placeholder
country selection view placeholder"
AirwallexPaymentSheet/Resources/Localizable.xcstrings,State,Bundesland,State,Estado,État / Région,都道府県,주,Estado,Distrito / Estado,Штат / Область,รัฐ / จังหวัด,省/州,州／省,billing state placeholder
AirwallexPaymentSheet/Resources/Localizable.xcstrings,Street,Straße,Street,Calle,Rue,住所,주소,Rua,Rua,Улица,ถนน,街道,街道,billing street placeholder
AirwallexPaymentSheet/Resources/Localizable.xcstrings,This option will be permanently removed from your saved payment methods.,Diese Option wird dauerhaft aus Ihren gespeicherten Zahlungsmethoden entfernt.,This option will be permanently removed from your saved payment methods.,Esta opción se eliminará permanentemente de sus métodos de pago guardados.,Cette option sera définitivement supprimée de vos moyens de paiement enregistrés.,このオプションは保存されたお支払い方法から完全に削除されます。,이 옵션은 저장된 결제 수단에서 영구적으로 삭제됩니다.,Esta opção será removida permanentemente dos seus métodos de pagamento salvos.,Esta opção será removida permanentemente dos seus métodos de pagamento guardados.,Этот вариант будет навсегда удалён из сохранённых способов оплаты.,ตัวเลือกนี้จะถูกลบออกจากวิธีการชำระเงินที่บันทึกไว้ของคุณอย่างถาวร,该选项将永久从您的已保存支付方式中移除。,這個選項將永久從您已儲存的付款方式中移除。,consent section - alert message for delete a consent
AirwallexPaymentSheet/Resources/Localizable.xcstrings,You will be redirected to complete your payment upon confirmation.,Nach Bestätigung werden Sie zur Bezahlung weitergeleitet.,You will be redirected to complete your payment upon confirmation.,Serás redirigido para completar tu pago tras la confirmación.,Vous serez redirigé pour finaliser votre paiement après confirmation.,確認後、支払い手続きへリダイレクトされます。,확인 후 결제를 완료하러 이동합니다.,Você será redirecionado para concluir seu pagamento após a confirmação.,Será redirecionado para concluir o pagamento após a confirmação.,После подтверждения вы будете перенаправлены для завершения оплаты.,คุณจะถูกเปลี่ยนเส้นทางไปหน้าชำระเงินเมื่อยืนยัน,确认后您将被重定向完成支付。,確認後您將被重新導向以完成付款。,schema payment redirect reminder
